guarantee,保証
merchant,商人
dedicate,〜に捧げる
bias,偏見
speculator,投機家
diabetes,糖尿病
mature,成熟した
reinforce,強化する
dimension,寸法
avoid,避ける
administration,管理
bother,悩ます
restrain,抑制する
stimulation,刺激
offset,相殺する
affirm,断言する
considerably,かなり
demonstration,証明
arouse,覚醒させる
constitute,構成する
superb,素晴らしい
segment,区切り
literacy,読み書きの能力
dignity,尊厳
soak,浸す
fierce,激しい
irony,皮肉
disregard,無視する
presume,推定する
luxurious,贅沢な
chronic,慢性の
testify,証言する
investigate,調査
cencus,国勢調査
chore,雑用
emit,放出する
tolerant,寛容
prevail,流行している
perceptive,知覚の
extraordinary,並外れた
affluent,豊富な
dormitory,寮
brief,短時間の
encount,遭遇する
attorney,弁護士
coincidence,一致
accurate,正確な
expend,費やす
determine,決定する
assume,推測する
estimate,見積もる
vary,変化
encounter,出会い
discipline,規律
colony,植民地
beverage,飲料
interfere,干渉する
deceive,欺く
patent,特許
pronounce,発音する
astonish,驚かす
spectator,観客
optimistic,楽観的
confine,制限する
retail,小売り
vivid,鮮やか
prosperity,繁栄する
parliament,議会
correspond,一致する
conform,従う
induce,誘発する
oblige,〜しなければならない
provoke,挑発する
soar,急上昇
scenery,景色
contradict,矛盾する
strive,努力
hostile,敵対的
justify,正当化する
expel,追放する
distribute,分配する
prevent,防ぐ
resume,再開する
hinder,妨げる
mere,単なる
eager,しきりに〜したがる
discard,破棄する
orphan,孤児
misery,惨め
jealous,嫉妬
vocation,職業
contemplate,熟考する
conceive,想像する
conceit,うぬぼれ
superstition,迷信
currency,通貨
diminish,減少する
comprise,〜から成る
decay,腐敗する
