chronological age,生活年齢
pessimistic,悲観的な
predisposition,傾向
trait,特性
self-efficacy,自己効力感
authoritarian personality,権威主義的パーソナリティ
convergent thinking,収束的思考
crystallised intelligence,結晶性知能
fluid intelligence,流動性知能
divergent thinking,拡散的思考
extroversion,外向性
idiographic,個性記述的
intelligence quontient,知能指数
introversion,内向性
nomothetic,法則定立的
optimist,楽観主義者
projective technique,投影法
theory of multiple intelligence,多重知能理論
trait theory,特性論
typology,類型論
triarchic theory,鼎立理論
agreeableness,協調性
conscientiousness,誠実性
lie scale,虚偽尺度
openness,解放性
social desirability,社会的望ましさ
Thematic Apperception Test,主題統覚検査
terror,恐怖
annoyance,いらだち
distraction,気晴らし
hostility,敵意
