solitary,孤独
attraction,魅力
authority,権威
imitate,模倣する
isolation,孤立
misattribution,誤帰属
reciprocal,互恵的な
social referencing,社会的参照
appearance,見かけの
comformity,同調
delinquent,非行の
obedience,服従
persuasive,説得力のある
prejudice,偏見
altruism,愛他的な
bystander effect,傍観者効果
cautious shift,コ―シャルシフト
cognitive dissonance theory,認知的不協和理論
elaboration likehood model,精緻化見込みモデル
fundamental attribution error,根本的帰属の誤り
group polarzation,集団分極化
norm,規範
positive illusion,ポジティブ幻想
prisoners' delemma,囚人のジレンマ
prosocial behavior,向社会的行動
self-fulfilling prorhecy,自己成就的予言
self-presentation,自己呈示
social facilitation,社会的促進
social loafing,社会的手抜き
zero-sum game,ゼロサムゲーム
confirmation bias,確証バイアス
diffusion of responsibility,責任の分散
mere exposure effect,単純接触効果
